date,cases,deaths
2020-03-18,3,0
2020-03-19,20,0
2020-03-20,36,0
2020-03-21,46,0
2020-03-22,47,1
2020-03-23,56,1
2020-03-24,70,1
2020-03-25,78,1
2020-03-26,80,1
2020-03-27,86,1
2020-03-28,90,2
2020-03-29,101,5
2020-03-30,105,5
2020-03-31,123,7
2020-04-01,132,7
2020-04-02,154,8
2020-04-03,161,12
2020-04-04,188,12
2020-04-05,191,13
2020-04-06,204,14
2020-04-07,212,15
2020-04-08,216,15
2020-04-09,223,17
2020-04-10,231,17
2020-04-11,237,17
2020-04-12,240,18
2020-04-13,258,20
2020-04-14,267,21
2020-04-15,269,22
2020-04-16,277,23
2020-04-17,279,24
2020-04-18,311,28
2020-04-19,317,28
2020-04-20,327,30
2020-04-21,339,32
2020-04-22,347,34
2020-04-23,360,36
2020-04-24,370,37
2020-04-25,395,43
2020-04-26,402,46
2020-04-27,423,49
2020-04-28,452,53
2020-04-29,480,56
2020-04-30,492,57
2020-05-01,506,60
2020-05-02,552,67
2020-05-03,670,78
2020-05-04,767,82
2020-05-05,825,87
2020-05-06,860,91
2020-05-07,937,113
2020-05-08,1013,145
2020-05-09,1121,190
2020-05-10,1163,205
2020-05-11,1257,233
2020-05-12,1333,251
2020-05-13,1425,274
2020-05-14,1553,290
2020-05-15,1661,314
2020-05-16,1773,354
2020-05-17,1918,381
2020-05-18,2086,408
2020-05-19,2188,449
2020-05-20,2315,477
2020-05-21,2440,523
2020-05-22,2629,580
2020-05-23,2720,616
2020-05-24,2800,646
2020-05-25,2965,704
2020-05-26,3110,740
2020-05-27,3335,828
2020-05-28,3489,872
2020-05-29,3597,905
2020-05-30,3770,950
2020-05-31,3919,989
2020-06-01,4115,1051
2020-06-02,4255,1093
2020-06-03,4392,1137
2020-06-04,4614,1207
2020-06-05,4772,1246
2020-06-06,4850,1276
2020-06-07,4968,1325
2020-06-08,5130,1377
2020-06-09,5224,1396
2020-06-10,5323,1421
2020-06-11,5445,1459
2020-06-12,5606,1504
2020-06-13,5698,1534
2020-06-14,5844,1573
2020-06-15,5995,1609
2020-06-16,6222,1686
2020-06-17,6362,1717
2020-06-18,6490,1751
2020-06-19,6681,1802
2020-06-20,6770,1831
2020-06-21,6877,1862
2020-06-22,6990,1897
2020-06-23,7099,1918
2020-06-24,7168,1943
2020-06-25,7235,1963
2020-06-26,7360,2003
2020-06-27,7419,2029
2020-06-28,7506,2057
2020-06-29,7598,2081
2020-06-30,7692,2105
2020-07-01,7790,2116
2020-07-02,7910,2140
2020-07-03,7961,2155
2020-07-04,7995,2165
2020-07-05,8047,2180
2020-07-06,8152,2234
2020-07-07,8265,2271
2020-07-08,8350,2297
2020-07-09,8407,2311
2020-07-10,8488,2343
2020-07-11,8519,2357
2020-07-12,8560,2372
2020-07-13,8606,2376
2020-07-14,8639,2385
2020-07-15,8706,2400
2020-07-16,8752,2423
2020-07-17,8803,2442
2020-07-18,8822,2452
2020-07-19,8852,2459
2020-07-20,8872,2463
2020-07-21,8926,2480
2020-07-22,8962,2488
2020-07-23,8970,2492
2020-07-24,9075,2500
2020-07-25,9103,2507
2020-07-26,9123,2515
2020-07-27,9135,2524
2020-07-28,9154,2526
2020-07-29,9194,2536
2020-07-30,9250,2557
2020-07-31,9275,2560
2020-08-01,9305,2563
2020-08-02,9341,2567
2020-08-03,9393,2572
2020-08-04,9429,2586
2020-08-05,9470,2597
2020-08-06,9486,2601
2020-08-07,9522,2614
2020-08-08,9526,2617
2020-08-09,9539,2618
2020-08-10,9556,2623
2020-08-11,9603,2625
2020-08-12,9648,2626
2020-08-13,9697,2632
2020-08-14,9745,2638
2020-08-15,9752,2639
2020-08-16,9765,2640
2020-08-17,9772,2640
2020-08-18,9797,2644
2020-08-19,9822,2651
2020-08-20,9849,2655
2020-08-21,9887,2664
2020-08-22,9932,2667
2020-08-23,9961,2670
2020-08-24,9967,2672
2020-08-25,9983,2678
2020-08-26,9998,2680
