departamento,date,cases,deaths
Boaco,2020-03-22,0,0
Boaco,2020-03-23,1,0
Boaco,2020-03-24,1,0
Boaco,2020-03-25,1,0
Boaco,2020-03-26,1,0
Boaco,2020-03-27,1,0
Boaco,2020-03-28,1,0
Boaco,2020-03-29,1,0
Boaco,2020-03-30,1,0
Boaco,2020-03-31,1,0
Boaco,2020-04-01,1,0
Boaco,2020-04-02,1,0
Boaco,2020-04-03,1,0
Boaco,2020-04-04,1,0
Boaco,2020-04-05,1,0
Boaco,2020-04-06,1,0
Boaco,2020-04-07,1,0
Boaco,2020-04-08,2,0
Boaco,2020-04-09,2,0
Boaco,2020-04-10,2,0
Boaco,2020-04-11,2,0
Boaco,2020-04-12,2,0
Boaco,2020-04-13,3,0
Boaco,2020-04-14,3,0
Boaco,2020-04-15,3,0
Boaco,2020-04-16,3,0
Boaco,2020-04-17,3,0
Boaco,2020-04-18,3,0
Boaco,2020-04-19,3,0
Boaco,2020-04-20,3,0
Boaco,2020-04-21,4,0
Boaco,2020-04-22,4,0
Boaco,2020-04-23,4,0
Boaco,2020-04-24,4,0
Boaco,2020-04-25,4,0
Boaco,2020-04-26,4,0
Boaco,2020-04-27,7,0
Boaco,2020-04-28,7,0
Boaco,2020-04-29,7,0
Boaco,2020-04-30,7,0
Boaco,2020-05-01,7,0
Boaco,2020-05-02,8,0
Boaco,2020-05-03,10,0
Boaco,2020-05-04,10,0
Boaco,2020-05-05,10,0
Boaco,2020-05-06,10,0
Boaco,2020-05-07,10,0
Boaco,2020-05-08,10,0
Boaco,2020-05-09,10,0
Boaco,2020-05-10,10,0
Boaco,2020-05-11,11,1
Boaco,2020-05-12,11,1
Boaco,2020-05-13,13,1
Boaco,2020-05-14,13,1
Boaco,2020-05-15,13,1
Boaco,2020-05-16,13,1
Boaco,2020-05-17,13,1
Boaco,2020-05-18,13,1
Boaco,2020-05-19,15,2
Boaco,2020-05-20,15,2
Boaco,2020-05-21,16,2
Boaco,2020-05-22,16,2
Boaco,2020-05-23,16,2
Boaco,2020-05-24,16,2
Boaco,2020-05-25,16,2
Boaco,2020-05-26,16,2
Boaco,2020-05-27,17,3
Boaco,2020-05-28,18,4
Boaco,2020-05-29,20,6
Boaco,2020-05-30,23,6
Boaco,2020-05-31,23,6
Boaco,2020-06-01,23,6
Boaco,2020-06-02,36,6
Boaco,2020-06-03,36,6
Boaco,2020-06-04,39,9
Boaco,2020-06-05,40,10
Boaco,2020-06-06,50,18
Boaco,2020-06-07,50,18
Boaco,2020-06-08,54,21
Boaco,2020-06-09,54,21
Boaco,2020-06-10,54,21
Boaco,2020-06-11,56,23
Boaco,2020-06-12,59,24
Boaco,2020-06-13,63,25
Boaco,2020-06-14,65,26
Boaco,2020-06-15,78,27
Boaco,2020-06-16,94,33
Boaco,2020-06-17,94,33
Boaco,2020-06-18,94,33
Boaco,2020-06-19,108,34
Boaco,2020-06-20,108,35
Boaco,2020-06-21,115,36
Boaco,2020-06-22,118,36
Boaco,2020-06-23,119,36
Boaco,2020-06-24,121,36
Boaco,2020-06-25,121,36
Boaco,2020-06-26,122,36
Boaco,2020-06-27,124,37
Boaco,2020-06-28,124,37
Boaco,2020-06-29,127,38
Boaco,2020-06-30,146,40
Boaco,2020-07-01,147,40
Boaco,2020-07-02,163,41
Boaco,2020-07-03,163,41
Boaco,2020-07-04,163,41
Boaco,2020-07-05,163,41
Boaco,2020-07-06,165,43
Boaco,2020-07-07,165,43
Boaco,2020-07-08,165,43
Boaco,2020-07-09,165,43
Boaco,2020-07-10,165,44
Boaco,2020-07-11,166,45
Boaco,2020-07-12,166,45
Boaco,2020-07-13,170,45
Boaco,2020-07-14,170,45
Boaco,2020-07-15,186,47
Boaco,2020-07-16,190,48
Boaco,2020-07-17,190,48
Boaco,2020-07-18,190,48
Boaco,2020-07-19,190,48
Boaco,2020-07-20,190,48
Boaco,2020-07-21,190,48
Boaco,2020-07-22,191,48
Boaco,2020-07-23,191,48
Boaco,2020-07-24,191,48
Boaco,2020-07-25,194,49
Boaco,2020-07-26,194,49
Boaco,2020-07-27,194,49
Boaco,2020-07-28,194,49
Boaco,2020-07-29,194,49
Boaco,2020-07-30,194,49
Boaco,2020-07-31,194,49
Boaco,2020-08-01,194,49
Boaco,2020-08-02,194,49
Boaco,2020-08-03,194,49
Boaco,2020-08-04,194,49
Boaco,2020-08-05,194,49
Boaco,2020-08-06,194,49
Boaco,2020-08-07,194,49
Boaco,2020-08-08,194,49
Boaco,2020-08-09,194,49
Boaco,2020-08-10,194,49
Boaco,2020-08-11,194,49
Boaco,2020-08-12,194,49
Boaco,2020-08-13,194,49
Boaco,2020-08-14,194,49
Boaco,2020-08-15,194,49
Boaco,2020-08-16,194,49
Boaco,2020-08-17,194,49
Boaco,2020-08-18,194,49
Boaco,2020-08-19,194,49
